type,main,mainEn,springs,reps,subs
series,腳部練習,FOOT WORK,掛3根或4根彈簧,重複練習10-12次,腳掌分開雙踵併攏|TOES APART HEELS TOGETHER;腳趾抓桿|WRAP TOES ON BAR;雙踵抵在腳踏桿上|HEELS ON BAR;腳尖掂起|HIGH HALF TOE;落踵與提踵|LOWER & LIFT
series,第二種姿勢,SECOND POSITION,掛3根或4根彈簧,重複練習10-12次,平行|PARALLEL;外旋|LATERALLY ROTATED;內旋|MEDIALLY ROTATED
series,單腿練習,SINGLE LEG,掛2根或3根彈簧,重複練習5-10次,單腿彎曲|ONE LEGBENT;腳踏車式動作|BICYCLE;繃緊伸展|DEVELOPE;單踵練習|SINGLE HEEL
single,百次拍擊,HUNDRED,掛2根或3根彈簧,重複練習10組,
series,屈伸練習,BEND & STRETCH,掛2根彈簧,重複練習10次,平行|PARALLEL;外旋|LATERALLY ROTATED;內旋|MEDIALLY ROTATED
single,脊椎捲曲,SHORT SPINE,掛2根彈簧,重複練習5次,
single,拍擊,BEATS,掛2根彈簧,重複練習10次,
single,蛙跳姿,FROG,掛2根彈簧,重複練習5次,
single,鹿跳姿,STAG,掛2根彈簧,重複練習5次,
single,協調性,COORDINATION,掛2根彈簧,重複練習5次,
series,後划,BACK ROWING,掛1根或2根彈簧,重複練習5次,弓背|ROUND BACK;直背|STRAIGHT BACK
series,前划,FRONT ROWING,掛1根或2根彈簧,重複練習5次,手臂畫弧|ARM CIRCLES;弓背前傾 雙臂畫弧|ROUND FORWARD WITH ARM CIRCLES;致敬姿SALUTE;第二種姿勢|SECOND POSITION;雙手上托|OFFERING
series,腹部按摩,STOMACH MASSAGE,掛2根或3根彈簧,重複練習5-10次,弓背|ROUND BACK;直背|STRAIGHT BACK;伸展動作|REACHING;扭轉|TWIST
series,"雙臂拉動拉環,盒子豎放","ARMS PULLING STRAPS,LONG BOX",掛1根彈簧,重複練習5次,划船動作|PLOW;飛翔動作|AIRPLANE;肱三頭肌|TRICEPS
single,"仰泳練習準備動作,盒子豎放","BACKSTROKE PREP,LONG BOX",掛2根彈簧,重複練習10次,
series,"腳拉動拉環,盒子","FEET PULLING STRAPS, BOX",掛1根彈簧,重複練習10次,股後肌群卷曲|HAMSTRING CURLS;跪姿單腿拉動|KNEEING ONE LEG PULL;提膝動作|KNEE LIFT;側躺單腿拉動|SIDE-LYING ONE LEG PULL
single,"弓背,盒子橫放","ROUND BACK,SHORT BOX",掛2根彈簧,重複練習5次,
single,"直背,盒子橫放","STRAIGHT BACK,SHORT BOX",掛2根彈簧,重複練習5次,
single,"弓背扭轉,盒子橫放","TWIST WITH ROUND BACK,SHORT BOX",掛2根彈簧,重複練習3次,
single,"傾斜,盒子橫放","LEAN,SHORT BOX",掛2根彈簧,重複練習3次,
single,"樹姿,盒子橫放","TREE,SHORT BOX",掛2根彈簧,重複練習3次,
series,"美人魚姿,盒子橫放","MERMAID,SHORT BOX",掛2根彈簧,重複練習3-5次,側彎|SIDE BEND;鷹形動作|HAWK;弓箭姿|BOW & ARROW
single,直線伸展,LONG STRETCH,掛1根或2根彈簧,重複練習5次,
single,向下伸展,DOWN STRETCH,掛1根或2根彈簧,重複練習2組,
series,向上伸展,UP STRETCH,掛1根或2根彈簧,重複練習5次,弓背|ROUND BACK
series,大象姿,ELEPHANT,掛1根或2根彈簧,重複練習10次,弓背|ROUND BACK;直背|STRAIGHT BACK
single,半弧,SEMICIRCLE,掛2根彈簧,重複練習3次,
series,胸部擴張,CHEST EXPANSION,掛1根或2根彈簧,重複練習6次,胸部擴張|CHEST EXPANSION;有節奏的擴張|PULSES
series,側跪手臂準備動作,SIDE ARM PERPS KNEELING,掛1/4根或2根彈簧,重複練習5次,內旋|INTERNAL ROTATION;外旋|EXTERNAL ROTATION;內收|ADDUTION;外展|ABDUCTION;直臂內收|LONG ARM ADDUCTION;直臂外展|LONG ARM ABDUCTION;反手|BACKHAND
single,側跪扭轉,SIDE TWIST KNEELING,掛1/2根至2根彈簧,重複練習5次,
series,反向擴張,REVERSE EXPANSION,掛1/2根至2根彈簧,重複練習4次,向前伸直(雙手前伸) |STRAIGHT FORWARD(REACHING FORWARD);弧形外展|TEARDROPS OUTWARD;弧形內收|TEARDROPS INWARD;致敬姿|SALUTE;二頭肌捲曲|BICEPS CURLS
series,美人魚姿,MERMAID,掛1根彈簧,重複練習3-5次,美人魚姿|MERMAID;旋轉美人魚姿|MERMAID WITH ROTATION
series,雙腿畫弧,LEG CIRCLES,掛2根彈簧,重複練習10次,平行|PARALLEL;外旋|LATERALLY ROTATED;內旋|MEDIALLY ROTATED
single,脊椎伸展,LONG SPINE,掛2根或3根彈簧,重複練習3次,
series,膝部伸展,KENN STRETCHES,掛2根彈簧,重複練習10次,弓背|ROUND BACK;直背|STRAIGHT BACK;背部伸展|XTENDED BACK;雙膝懸空|KNEES OFF
single,跑步運動,RUNNING,掛2根或3根彈簧,重複練習20-60次,
single,髖部上抬,HIP LIFT,掛2根或3根彈簧,重複練習10次,
single,髖部起伏,HIP ROLLS,掛2根或3根彈簧,重複練習5-10次,
single,單側大腿伸展,SINGLE THIGH STRETCH,掛2根彈簧,重複練習5次,
single,前劈叉,FRONT SPLITS,掛1根或2根彈簧,重複練習5次,
